Wikidata_URI15	id	Company	Industry	Country	rating	Sales	Profits	Assets	Rank	DBpedia_URI	label	DBpedia_URI15	YAGO_URI15
http://www.wikidata.org/entity/Q156578	14	Volkswagen Group	Auto & Truck Manufacturers	Germany	94.4	254	28.6	408.2	14	http://dbpedia.org/resource/Volkswagen_Group	high	http://dbpedia.org/resource/Volkswagen_Group	http://yago-knowledge.org/resource/Volkswagen_Group
http://www.wikidata.org/entity/Q89	15	Apple	Computer Hardware	United States	416.6	164.7	41.7	196.1	15	http://dbpedia.org/resource/Apple	high	http://dbpedia.org/resource/Apple	
	16	Wal-Mart Stores	Discount Stores	United States	242.5	469.2	17	203.1	15	http://dbpedia.org/resource/Wal-Mart_Stores	high	http://dbpedia.org/resource/Walmart	
http://www.wikidata.org/entity/Q102673	17	Gazprom	Oil & Gas Operations	Russia	111.4	144	40.6	339.3	17	http://dbpedia.org/resource/Gazprom	high	http://dbpedia.org/resource/Gazprom	http://yago-knowledge.org/resource/Gazprom
http://www.wikidata.org/entity/Q152057	18	BP	Oil & Gas Operations	United Kingdom	130.4	370.9	11.6	301	18	http://dbpedia.org/resource/BP	high	http://dbpedia.org/resource/BP	http://yago-knowledge.org/resource/BP
http://www.wikidata.org/entity/Q219508	19	Citigroup	Major Banks	United States	143.6	90.7	7.5	1864.7	19	http://dbpedia.org/resource/Citigroup	high	http://dbpedia.org/resource/Citigroup	http://yago-knowledge.org/resource/Citigroup
http://www.wikidata.org/entity/Q210047	20	Petrobras	Oil & Gas Operations	Brazil	120.7	144.1	11	331.6	20	http://dbpedia.org/resource/Petrobras	high	http://dbpedia.org/resource/Petrobras	http://yago-knowledge.org/resource/Petrobras
http://www.wikidata.org/entity/Q20718	21	Samsung Electronics	Semiconductors	South Korea	174.4	187.8	21.7	196.3	20	http://dbpedia.org/resource/Samsung_Electronics	high	http://dbpedia.org/resource/Samsung_Electronics	http://yago-knowledge.org/resource/Samsung_Electronics
http://www.wikidata.org/entity/Q499707	22	BNP Paribas	Major Banks	France	71.3	126.2	8.6	2504.2	22	http://dbpedia.org/resource/BNP_Paribas	medium	http://dbpedia.org/resource/BNP_Paribas	http://yago-knowledge.org/resource/BNP_Paribas
http://www.wikidata.org/entity/Q352850	23	Total	Oil & Gas Operations	France	115.5	240.5	14.1	224.1	23	http://dbpedia.org/resource/Total	high	http://dbpedia.org/resource/Total	
http://www.wikidata.org/entity/Q35476	24	AT&T	Telecommunications services	United States	200.1	127.4	7.3	272.3	24	http://dbpedia.org/resource/AT&T	high	http://dbpedia.org/resource/AT&T	http://yago-knowledge.org/resource/AT&T
http://www.wikidata.org/entity/Q487292	25	Allianz	Diversified Insurance	Germany	66.4	140.3	6.8	915.8	25	http://dbpedia.org/resource/Allianz	medium	http://dbpedia.org/resource/Allianz	http://yago-knowledge.org/resource/Allianz
	26	Mitsubishi UFJ Financial	Major Banks	Japan	85.7	59	11.9	2653.1	27	http://dbpedia.org/resource/Mitsubishi_UFJ_Financial	medium	http://dbpedia.org/resource/Mitsubishi_UFJ_Financial_Group	
http://www.wikidata.org/entity/Q487907	27	Bank of America	Major Banks	United States	135.5	100.1	4.2	2210	28	http://dbpedia.org/resource/Bank_of_America	high	http://dbpedia.org/resource/Bank_of_America	http://yago-knowledge.org/resource/Bank_of_America
http://www.wikidata.org/entity/Q741618	28	China Mobile	Telecommunications services	Hong Kong-China	213.8	88.8	20.5	168.7	29	http://dbpedia.org/resource/China_Mobile	high	http://dbpedia.org/resource/China_Mobile	http://yago-knowledge.org/resource/China_Mobile
http://www.wikidata.org/entity/Q408793	29	ENI	Oil & Gas Operations	Italy	86.3	163.7	10	185.2	30	http://dbpedia.org/resource/ENI	medium	http://dbpedia.org/resource/ENI	
	30	Toyota Motor	Auto & Truck Manufacturers	Japan	167.2	224.5	3.4	371.3	31	http://dbpedia.org/resource/Toyota_Motor	high	http://dbpedia.org/resource/Toyota	
http://www.wikidata.org/entity/Q160746	31	Nestl�	Food Processing	Switzerland	233.5	100.6	11.6	134.7	32	http://dbpedia.org/resource/Nestl�	high	http://dbpedia.org/resource/Nestl�	
http://www.wikidata.org/entity/Q122141	32	Vodafone	Telecommunications services	United Kingdom	135.7	74.4	11.1	219.9	33	http://dbpedia.org/resource/Vodafone	high	http://dbpedia.org/resource/Vodafone	http://yago-knowledge.org/resource/Vodafone
http://www.wikidata.org/entity/Q37156	33	IBM	Computer Services	United States	239.5	104.5	16.6	119.2	34	http://dbpedia.org/resource/IBM	high	http://dbpedia.org/resource/IBM	http://yago-knowledge.org/resource/IBM
http://www.wikidata.org/entity/Q212405	34	Procter & Gamble	Household/Personal Care	United States	208.5	83.3	12.9	139.9	35	http://dbpedia.org/resource/Procter_&_Gamble	high	http://dbpedia.org/resource/Procter_&_Gamble	http://yago-knowledge.org/resource/Procter_&_Gamble
http://www.wikidata.org/entity/Q228894	35	Daimler	Auto & Truck Manufacturers	Germany	64.1	150.8	8	211.9	36	http://dbpedia.org/resource/Daimler	medium	http://dbpedia.org/resource/Daimler	
http://www.wikidata.org/entity/Q206921	36	Pfizer	Pharmaceuticals	United States	201.4	59	14.6	185.8	37	http://dbpedia.org/resource/Pfizer	high	http://dbpedia.org/resource/Pfizer	http://yago-knowledge.org/resource/Pfizer
http://www.wikidata.org/entity/Q1776022	37	Statoil	Oil & Gas Operations	Norway	78.1	126.8	12.4	140.2	38	http://dbpedia.org/resource/Statoil	medium	http://dbpedia.org/resource/Statoil	http://yago-knowledge.org/resource/Statoil
	38	AXA Group	Diversified Insurance	France	45.3	147.5	5.3	1005.4	39	http://dbpedia.org/resource/AXA_Group	medium	http://dbpedia.org/resource/AXA	
http://www.wikidata.org/entity/Q285328	39	Commonwealth Bank	Major Banks	Australia	117.5	47.8	7.3	735.2	40	http://dbpedia.org/resource/Commonwealth_Bank	high	http://dbpedia.org/resource/Commonwealth_Bank	http://yago-knowledge.org/resource/Commonwealth_Bank
http://www.wikidata.org/entity/Q2283	40	Microsoft	Software & Programming	United States	234.8	72.9	15.5	128.7	41	http://dbpedia.org/resource/Microsoft	high	http://dbpedia.org/resource/Microsoft	http://yago-knowledge.org/resource/Microsoft
http://www.wikidata.org/entity/Q1424293	41	Ita�_Unibanco	Major Banks	Brazil	82	70.5	6.2	453.6	42	http://dbpedia.org/resource/Ita�_Unibanco	medium	http://dbpedia.org/resource/Ita�_Unibanco	
http://www.wikidata.org/entity/Q6496310	42	Banco Santander	Major Banks	Spain	82.1	108.8	2.9	1647.8	43	http://dbpedia.org/resource/Banco_Santander	medium	http://dbpedia.org/resource/Banco_Santander	
http://www.wikidata.org/entity/Q625713	43	BHP Billiton	Diversified Metals & Mining	Australia	184.7	72.2	15.4	129.3	44	http://dbpedia.org/resource/BHP_Billiton	high	http://dbpedia.org/resource/BHP_Billiton	http://yago-knowledge.org/resource/BHP_Billiton
http://www.wikidata.org/entity/Q806181	44	Banco Bradesco	Regional Banks	Brazil	71.6	78.3	5.6	417.5	45	http://dbpedia.org/resource/Banco_Bradesco	medium	http://dbpedia.org/resource/Banco_Bradesco	http://yago-knowledge.org/resource/Banco_Bradesco
http://www.wikidata.org/entity/Q333718	45	Johnson & Johnson	Medical Equipment & Supplies	United States	221.4	67.2	10.9	121.3	46	http://dbpedia.org/resource/Johnson_&_Johnson	high	http://dbpedia.org/resource/Johnson_&_Johnson	http://yago-knowledge.org/resource/Johnson_&_Johnson
	46	Westpac Banking Group	Major Banks	Australia	98.9	43.9	6.2	699.6	48	http://dbpedia.org/resource/Westpac_Banking_Group	high	http://dbpedia.org/resource/Westpac	
	47	Goldman Sachs Group	Investment Services	United States	74.5	41.7	7.5	938.6	49	http://dbpedia.org/resource/Goldman_Sachs_Group	medium	http://dbpedia.org/resource/Goldman_Sachs	
http://www.wikidata.org/entity/Q735261	48	Royal Bank of Canada	Major Banks	Canada	87.2	38.3	7.7	838.5	50	http://dbpedia.org/resource/Royal_Bank_of_Canada	medium	http://dbpedia.org/resource/Royal_Bank_of_Canada	http://yago-knowledge.org/resource/Royal_Bank_of_Canada
http://www.wikidata.org/entity/Q81230	49	Siemens	Conglomerates	Germany	91.9	100.6	5.7	134.4	51	http://dbpedia.org/resource/Siemens	high	http://dbpedia.org/resource/Siemens	
	50	Ford Motor	Auto & Truck Manufacturers	United States	51.8	134.3	5.7	190.6	53	http://dbpedia.org/resource/Ford_Motor	medium	http://dbpedia.org/resource/Ford_Motor_Company	
http://www.wikidata.org/entity/Q806680	51	Bank of Communications	Major Banks	China	56.7	43.5	9.4	846.4	54	http://dbpedia.org/resource/Bank_of_Communications	medium	http://dbpedia.org/resource/Bank_of_Communications	http://yago-knowledge.org/resource/Bank_of_Communications
	52	BMW Group	Auto & Truck Manufacturers	Germany	60	98.8	6.6	165.5	55	http://dbpedia.org/resource/BMW_Group	medium	http://dbpedia.org/resource/BMW	
http://www.wikidata.org/entity/Q1113804	53	Comcast	Broadcasting & Cable	United States	106.3	62.6	6.2	165	56	http://dbpedia.org/resource/Comcast	high	http://dbpedia.org/resource/Comcast	http://yago-knowledge.org/resource/Comcast
http://www.wikidata.org/entity/Q507154	54	Novartis	Pharmaceuticals	Switzerland	169.3	56.7	9.5	124.2	57	http://dbpedia.org/resource/Novartis	high	http://dbpedia.org/resource/Novartis	http://yago-knowledge.org/resource/Novartis
http://www.wikidata.org/entity/Q1430985	55	National Australia Bank	Major Banks	Australia	76.3	49.2	4.2	791.3	58	http://dbpedia.org/resource/National_Australia_Bank	medium	http://dbpedia.org/resource/National_Australia_Bank	http://yago-knowledge.org/resource/National_Australia_Bank
http://www.wikidata.org/entity/Q1141123	56	Rosneft	Oil & Gas Operations	Russia	73.2	68.8	11.2	126.3	59	http://dbpedia.org/resource/Rosneft	medium	http://dbpedia.org/resource/Rosneft	http://yago-knowledge.org/resource/Rosneft
http://www.wikidata.org/entity/Q645708	57	ING Group	Life & Health Insurance	Netherlands	31.9	130	5.1	1533.7	60	http://dbpedia.org/resource/ING_Group	medium	http://dbpedia.org/resource/ING_Group	http://yago-knowledge.org/resource/ING_Group
	58	Sberbank	Regional Banks	Russia	73.3	36.1	10.8	441.1	61	http://dbpedia.org/resource/Sberbank	medium	http://dbpedia.org/resource/Sberbank_of_Russia	http://yago-knowledge.org/resource/Sberbank
http://www.wikidata.org/entity/Q212235	59	American International Group	Diversified Insurance	United States	57.5	65.7	3.4	548.6	62	http://dbpedia.org/resource/American_International_Group	medium	http://dbpedia.org/resource/American_International_Group	http://yago-knowledge.org/resource/American_International_Group
http://www.wikidata.org/entity/Q329347	60	Lukoil	Oil & Gas Operations	Russia	55.4	116.3	11	99	64	http://dbpedia.org/resource/Lukoil	medium	http://dbpedia.org/resource/Lukoil	http://yago-knowledge.org/resource/Lukoil
http://www.wikidata.org/entity/Q421296	61	Prudential	Life & Health Insurance	United Kingdom	44.7	90.2	3.6	489.4	65	http://dbpedia.org/resource/Prudential	medium	http://dbpedia.org/resource/Prudential	
http://www.wikidata.org/entity/Q295826	62	ANZ	Major Banks	Australia	81.2	37.5	5.9	666.9	66	http://dbpedia.org/resource/ANZ	medium	http://dbpedia.org/resource/ANZ	
http://www.wikidata.org/entity/Q95	63	Google	Computer Services	United States	268.4	50.2	10.7	93.8	68	http://dbpedia.org/resource/Google	high	http://dbpedia.org/resource/Google	http://yago-knowledge.org/resource/Google
http://www.wikidata.org/entity/Q9401	64	BASF	Diversified Chemicals	Germany	90.1	103.9	6.4	83.5	69	http://dbpedia.org/resource/BASF	high	http://dbpedia.org/resource/BASF	http://yago-knowledge.org/resource/BASF
http://www.wikidata.org/entity/Q81965	65	General Motors	Auto & Truck Manufacturers	United States	38.5	152.3	6.2	149.4	70	http://dbpedia.org/resource/General_Motors	medium	http://dbpedia.org/resource/General_Motors	http://yago-knowledge.org/resource/General_Motors
http://www.wikidata.org/entity/Q158205	66	Sanofi	Pharmaceuticals	France	131.6	46.1	6.6	132.4	72	http://dbpedia.org/resource/Sanofi	high	http://dbpedia.org/resource/Sanofi	http://yago-knowledge.org/resource/Sanofi
http://www.wikidata.org/entity/Q214763	67	ConocoPhillips	Oil & Gas Operations	United States	72.1	58.4	8.4	117.1	73	http://dbpedia.org/resource/ConocoPhillips	medium	http://dbpedia.org/resource/ConocoPhillips	http://yago-knowledge.org/resource/ConocoPhillips
http://www.wikidata.org/entity/Q437442	68	EDF	Electric Utilities	France	35.3	95.9	4.4	325.2	74	http://dbpedia.org/resource/EDF	medium	http://dbpedia.org/resource/EDF	
http://www.wikidata.org/entity/Q230426	69	Zurich Insurance Group	Diversified Insurance	Switzerland	41.8	70.4	3.9	409.3	75	http://dbpedia.org/resource/Zurich_Insurance_Group	medium	http://dbpedia.org/resource/Zurich_Insurance_Group	http://yago-knowledge.org/resource/Zurich_Insurance_Group
http://www.wikidata.org/entity/Q128738	70	Anheuser-Busch InBev	Beverages	Belgium	153.5	39.8	7.2	122.6	76	http://dbpedia.org/resource/Anheuser-Busch_InBev	high	http://dbpedia.org/resource/Anheuser-Busch_InBev	http://yago-knowledge.org/resource/Anheuser-Busch_InBev
http://www.wikidata.org/entity/Q248	71	Intel	Semiconductors	United States	105.7	53.3	11	84.4	77	http://dbpedia.org/resource/Intel	high	http://dbpedia.org/resource/Intel	http://yago-knowledge.org/resource/Intel
http://www.wikidata.org/entity/Q2813	72	Coca-Cola	Beverages	United States	173.1	48	9	86.2	79	http://dbpedia.org/resource/Coca-Cola	high	http://dbpedia.org/resource/Coca-Cola	http://yago-knowledge.org/resource/Coca-Cola
http://www.wikidata.org/entity/Q173395	73	Cisco Systems	Communications Equipment	United States	116.9	47.3	9.3	96.4	80	http://dbpedia.org/resource/Cisco_Systems	high	http://dbpedia.org/resource/Cisco_Systems	http://yago-knowledge.org/resource/Cisco_Systems
http://www.wikidata.org/entity/Q166637	74	Munich Re	Diversified Insurance	Germany	34.9	88	4.2	340.6	81	http://dbpedia.org/resource/Munich_Re	medium	http://dbpedia.org/resource/Munich_Re	http://yago-knowledge.org/resource/Munich_Re
	75	Merck & Co	Pharmaceuticals	United States	133.3	47.3	6.2	106.1	82	http://dbpedia.org/resource/Merck_&_Co	high	http://dbpedia.org/resource/Merck_&_Co.	
	76	Ping An Insurance Group	Diversified Insurance	China	57	51.1	3.2	456.2	83	http://dbpedia.org/resource/Ping_An_Insurance_Group	medium	http://dbpedia.org/resource/Ping_An_Insurance	
	77	Bank of Nova Scotia	Major Banks	Canada	70.6	27.6	6.4	737.2	84	http://dbpedia.org/resource/Bank_of_Nova_Scotia	medium	http://dbpedia.org/resource/Scotiabank	
	78	Nissan Motor	Auto & Truck Manufacturers	Japan	43.4	113.7	4.1	133.4	85	http://dbpedia.org/resource/Nissan_Motor	medium	http://dbpedia.org/resource/Nissan	
	79	Honda Motor	Auto & Truck Manufacturers	Japan	72.4	96	2.6	140.9	86	http://dbpedia.org/resource/Honda_Motor	medium	http://dbpedia.org/resource/Honda	
http://www.wikidata.org/entity/Q294064	80	Vale	Iron & Steel	Brazil	92.7	45.7	4.8	130.4	87	http://dbpedia.org/resource/Vale	high	http://dbpedia.org/resource/Vale	
http://www.wikidata.org/entity/Q334800	81	PepsiCo	Beverages	United States	118.9	65.5	6.2	74.6	88	http://dbpedia.org/resource/PepsiCo	high	http://dbpedia.org/resource/PepsiCo	http://yago-knowledge.org/resource/PepsiCo
	82	Hyundai Motor	Auto & Truck Manufacturers	South Korea	41.5	75	7.6	114.3	89	http://dbpedia.org/resource/Hyundai_Motor	medium	http://dbpedia.org/resource/Hyundai_Motor_Company	
http://www.wikidata.org/entity/Q2103926	83	UnitedHealth Group	Managed Health Care	United States	56.1	110.6	5.5	80.9	90	http://dbpedia.org/resource/UnitedHealth_Group	medium	http://dbpedia.org/resource/UnitedHealth_Group	http://yago-knowledge.org/resource/UnitedHealth_Group
	84	United Technologies	Conglomerates	United States	85.5	57.7	5.1	89.4	92	http://dbpedia.org/resource/United_Technologies	medium	http://dbpedia.org/resource/United_Technologies_Corporation	
	85	Saudi Basic Industries	Diversified Chemicals	Saudi Arabia	74.8	50.4	6.6	90.2	94	http://dbpedia.org/resource/Saudi_Basic_Industries	medium	http://dbpedia.org/resource/SABIC	
http://www.wikidata.org/entity/Q13416787	86	GDF Suez	Electric Utilities	France	45	128	2	268.9	95	http://dbpedia.org/resource/GDF_Suez	medium	http://dbpedia.org/resource/GDF_Suez	http://yago-knowledge.org/resource/GDF_Suez
http://www.wikidata.org/entity/Q66	87	Boeing	Aerospace & Defense	United States	65.4	81.7	3.9	88.9	96	http://dbpedia.org/resource/Boeing	medium	http://dbpedia.org/resource/Boeing	http://yago-knowledge.org/resource/Boeing
http://www.wikidata.org/entity/Q81825	88	Caterpillar	Heavy Equipment	United States	58.2	65.9	5.7	89.4	97	http://dbpedia.org/resource/Caterpillar	medium	http://dbpedia.org/resource/Caterpillar	
http://www.wikidata.org/entity/Q548278	89	Standard Chartered	Major Banks	United Kingdom	64.4	26.9	4.9	636.5	98	http://dbpedia.org/resource/Standard_Chartered	medium	http://dbpedia.org/resource/Standard_Chartered	http://yago-knowledge.org/resource/Standard_Chartered
http://www.wikidata.org/entity/Q270223	90	E.ON	Electric Utilities	Germany	32.5	174.2	2.9	184.9	99	http://dbpedia.org/resource/E.ON	medium	http://dbpedia.org/resource/E.ON	http://yago-knowledge.org/resource/E.ON
http://www.wikidata.org/entity/Q1073327	91	China Merchants Bank	Major Banks	China	44.1	28.4	7.3	547	101	http://dbpedia.org/resource/China_Merchants_Bank	medium	http://dbpedia.org/resource/China_Merchants_Bank	http://yago-knowledge.org/resource/China_Merchants_Bank
http://www.wikidata.org/entity/Q217123	92	Oracle	Software & Programming	United States	172	37.1	10.6	79.4	102	http://dbpedia.org/resource/Oracle	high	http://dbpedia.org/resource/Oracle	
http://www.wikidata.org/entity/Q157062	93	Unilever	Food Processing	Netherlands	122.3	67.7	5.9	59.9	103	http://dbpedia.org/resource/Unilever	high	http://dbpedia.org/resource/Unilever	http://yago-knowledge.org/resource/Unilever
	94	CVS Caremark	Drug Retail	United States	66	123.1	3.9	65.9	104	http://dbpedia.org/resource/CVS_Caremark	medium	http://dbpedia.org/resource/CVS_Health	http://yago-knowledge.org/resource/CVS_Caremark
http://www.wikidata.org/entity/Q487494	95	Tesco	Food Retail	United Kingdom	46.9	102.8	4.5	81.1	105	http://dbpedia.org/resource/Tesco	medium	http://dbpedia.org/resource/Tesco	http://yago-knowledge.org/resource/Tesco
	96	China Life Insurance	Life & Health Insurance	China	79.9	63.2	1.8	304.6	106	http://dbpedia.org/resource/China_Life_Insurance	medium	http://dbpedia.org/resource/China_Life_Insurance_Company	
	97	China Minsheng Banking	Regional Banks	China	43.9	27.9	6.1	515.5	107	http://dbpedia.org/resource/China_Minsheng_Banking	medium	http://dbpedia.org/resource/Minsheng_Banking_Corp	
http://www.wikidata.org/entity/Q8704	98	Walt Disney	Broadcasting & Cable	United States	104	42.8	5.6	80.6	108	http://dbpedia.org/resource/Walt_Disney	high	http://dbpedia.org/resource/Walt_Disney	http://yago-knowledge.org/resource/Walt_Disney
http://www.wikidata.org/entity/Q194360	99	American Express	Consumer Financial Services	United States	73	33.8	4.5	153.1	108	http://dbpedia.org/resource/American_Express	medium	http://dbpedia.org/resource/American_Express	http://yago-knowledge.org/resource/American_Express
	100	Mitsubishi Corp	Trading Companies	Japan	32.1	67.2	5.5	152.6	110	http://dbpedia.org/resource/Mitsubishi_Corp	medium	http://dbpedia.org/resource/Mitsubishi_Corporation	
	101	Cnooc	Oil & Gas Operations	Hong Kong-China	84.3	39.2	10.1	73.2	111	http://dbpedia.org/resource/Cnooc	medium	http://dbpedia.org/resource/China_National_Offshore_Oil_Corporation	
http://www.wikidata.org/entity/Q212322	102	GlaxoSmithKline	Pharmaceuticals	United Kingdom	111.1	43	7.4	63.5	112	http://dbpedia.org/resource/GlaxoSmithKline	high	http://dbpedia.org/resource/GlaxoSmithKline	http://yago-knowledge.org/resource/GlaxoSmithKline
	103	Hon Hai Precision	Electronics	Taiwan	32.1	132.1	10.7	65.8	113	http://dbpedia.org/resource/Hon_Hai_Precision	medium	http://dbpedia.org/resource/Foxconn	
http://www.wikidata.org/entity/Q1282130	104	Ecopetrol	Oil & Gas Operations	Colombia	116.2	39	8.4	64.4	114	http://dbpedia.org/resource/Ecopetrol	high	http://dbpedia.org/resource/Ecopetrol	http://yago-knowledge.org/resource/Ecopetrol
	105	China Shenhua Energy	Diversified Metals & Mining	China	70.8	39.7	7.7	70.2	115	http://dbpedia.org/resource/China_Shenhua_Energy	medium	http://dbpedia.org/resource/China_Shenhua_Energy_Company	
	106	US Bancorp	Major Banks	United States	63.8	22.2	5.6	353.9	116	http://dbpedia.org/resource/US_Bancorp	medium	http://dbpedia.org/resource/U.S._Bancorp	
http://www.wikidata.org/entity/Q53238	107	Hitachi	Electronics	Japan	28.5	116.8	4.2	113.2	117	http://dbpedia.org/resource/Hitachi	medium	http://dbpedia.org/resource/Hitachi	http://yago-knowledge.org/resource/Hitachi
	108	Nordea Bank	Regional Banks	Sweden	47.1	23.2	4.2	892.6	118	http://dbpedia.org/resource/Nordea_Bank	medium	http://dbpedia.org/resource/Nordea	
http://www.wikidata.org/entity/Q1425316	109	Schlumberger	Oil Services & Equipment	Netherlands	105.5	42.3	5.5	61.5	119	http://dbpedia.org/resource/Schlumberger	high	http://dbpedia.org/resource/Schlumberger	http://yago-knowledge.org/resource/Schlumberger
http://www.wikidata.org/entity/Q152051	110	Bayer	Diversified Chemicals	Germany	84.9	52.5	3.2	65.6	120	http://dbpedia.org/resource/Bayer	medium	http://dbpedia.org/resource/Bayer	http://yago-knowledge.org/resource/Bayer
http://www.wikidata.org/entity/Q908931	111	Reliance Industries	Oil & Gas Operations	India	50.4	70.3	3.9	64.2	121	http://dbpedia.org/resource/Reliance_Industries	medium	http://dbpedia.org/resource/Reliance_Industries	http://yago-knowledge.org/resource/Reliance_Industries
http://www.wikidata.org/entity/Q607131	112	MetLife	Diversified Insurance	United States	44	68.2	1.3	836.8	122	http://dbpedia.org/resource/MetLife	medium	http://dbpedia.org/resource/MetLife	http://yago-knowledge.org/resource/MetLife
http://www.wikidata.org/entity/Q306764	113	Abbott Laboratories	Pharmaceuticals	United States	53.6	39.9	6	67.2	123	http://dbpedia.org/resource/Abbott_Laboratories	medium	http://dbpedia.org/resource/Abbott_Laboratories	http://yago-knowledge.org/resource/Abbott_Laboratories
http://www.wikidata.org/entity/Q1437502	114	Iberdrola	Electric Utilities	Spain	33.6	45.1	3.7	121.7	124	http://dbpedia.org/resource/Iberdrola	medium	http://dbpedia.org/resource/Iberdrola	http://yago-knowledge.org/resource/Iberdrola
	115	Mitsui & Co	Trading Companies	Japan	27	63.4	5.2	109.3	126	http://dbpedia.org/resource/Mitsui_&_Co	medium	http://dbpedia.org/resource/Mitsui_&_Co.	
http://www.wikidata.org/entity/Q605565	116	Swiss Re	Diversified Insurance	Switzerland	30.8	33.6	4.3	215.8	127	http://dbpedia.org/resource/Swiss_Re	medium	http://dbpedia.org/resource/Swiss_Re	http://yago-knowledge.org/resource/Swiss_Re
	117	China Citic Bank	Regional Banks	China	32.5	24.4	4.9	474.7	128	http://dbpedia.org/resource/China_Citic_Bank	medium	http://dbpedia.org/resource/China_CITIC_Bank	
	118	Home Depot	Home Improvement Retail	United States	103.3	74.8	4.5	41.1	129	http://dbpedia.org/resource/Home_Depot	high	http://dbpedia.org/resource/The_Home_Depot	
http://www.wikidata.org/entity/Q1656230	119	Phillips 66	Oil & Gas Operations	United States	39.9	166.1	4.1	48.1	130	http://dbpedia.org/resource/Phillips_66	medium	http://dbpedia.org/resource/Phillips_66	
http://www.wikidata.org/entity/Q806693	120	Bank of Montreal	Major Banks	Canada	41	20.9	4.1	542.9	131	http://dbpedia.org/resource/Bank_of_Montreal	medium	http://dbpedia.org/resource/Bank_of_Montreal	http://yago-knowledge.org/resource/Bank_of_Montreal
	121	Credit Suisse Group	Investment Services	Switzerland	37.1	42.5	1.6	1009.6	132	http://dbpedia.org/resource/Credit_Suisse_Group	medium	http://dbpedia.org/resource/Credit_Suisse	
http://www.wikidata.org/entity/Q467752	122	Verizon Communications	Telecommunications services	United States	137.3	115.8	0.9	225.2	134	http://dbpedia.org/resource/Verizon_Communications	high	http://dbpedia.org/resource/Verizon_Communications	http://yago-knowledge.org/resource/Verizon_Communications
